# These data come from 
# wavelength = in micron
# albedo = reflectivity at this wavelength
#
wavelength |       albedo
     1.249 |   0.24618222
      1.25 |   0.24606395
     1.251 |    0.2459843
     1.252 |   0.24594706
     1.253 |   0.24594882
 1.2539999 |   0.24597155
     1.255 |   0.24599521
     1.256 |    0.2460143
     1.257 |   0.24605562
     1.258 |   0.24614981
 1.2589999 |   0.24631287
      1.26 |    0.2465277
     1.261 |   0.24677296
     1.262 |   0.24703337
     1.263 |   0.24730892
 1.2640001 |   0.24760167
     1.265 |   0.24791202
     1.266 |   0.24823759
     1.267 |   0.24857591
     1.268 |   0.24892783
 1.2690001 |   0.24930139
      1.27 |   0.24970622
     1.271 |   0.25014368
     1.272 |   0.25059643
     1.273 |   0.25104535
     1.274 |   0.25147483
     1.275 |   0.25187844
     1.276 |   0.25225136
     1.277 |   0.25259268
     1.278 |   0.25291201
     1.279 |   0.25321978
      1.28 |   0.25351992
     1.281 |   0.25380209
 1.2819999 |   0.25405318
     1.283 |   0.25426507
     1.284 |   0.25444046
     1.285 |   0.25458223
     1.286 |   0.25469321
 1.2869999 |   0.25477415
     1.288 |   0.25482562
     1.289 |   0.25484487
      1.29 |    0.2548241
     1.291 |   0.25475344
 1.2920001 |   0.25463173
     1.293 |   0.25447339
     1.294 |   0.25429642
     1.295 |   0.25411034
     1.296 |   0.25390986
 1.2970001 |   0.25368762
     1.298 |   0.25343713
     1.299 |   0.25315726
       1.3 |   0.25284654
     1.301 |   0.25250497
     1.302 |   0.25213712
     1.303 |   0.25174692
     1.304 |   0.25133812
 1.3049999 |   0.25091138
     1.306 |   0.25046796
     1.307 |     0.250009
     1.308 |   0.24953502
     1.309 |   0.24904692
 1.3099999 |   0.24854249
     1.311 |   0.24801323
     1.312 |    0.2474501
     1.313 |   0.24684978
     1.314 |   0.24622414
 1.3150001 |   0.24558665
     1.316 |   0.24494252
     1.317 |   0.24427819
     1.318 |   0.24357677
     1.319 |   0.24283114
 1.3200001 |    0.2420525
     1.321 |   0.24125446
     1.322 |   0.24044691
     1.323 |   0.23962812
     1.324 |   0.23879558
     1.325 |   0.23794614
     1.326 |   0.23707663
     1.327 |    0.2361833
 1.3279999 |   0.23526515
     1.329 |   0.23432766
      1.33 |   0.23337702
     1.331 |   0.23241925
     1.332 |   0.23146065
 1.3329999 |   0.23050655
     1.334 |    0.2295592
     1.335 |   0.22860977
     1.336 |   0.22764888
     1.337 |   0.22667043
 1.3380001 |   0.22567634
     1.339 |   0.22467014
      1.34 |   0.22365642
     1.341 |   0.22264245
     1.342 |   0.22163643
 1.3430001 |   0.22064337
     1.344 |   0.21966377
     1.345 |   0.21869716
     1.346 |    0.2177408
     1.347 |   0.21678825
     1.348 |   0.21583076
     1.349 |   0.21486613
      1.35 |   0.21390179
     1.351 |   0.21294692
     1.352 |   0.21200594
     1.353 |   0.21107234
     1.354 |   0.21013819
     1.355 |   0.20919546
 1.3559999 |    0.2082371
     1.357 |   0.20725566
     1.358 |   0.20624544
     1.359 |    0.2052045
      1.36 |   0.20413138
