 pressure | temperature |   density | altitude
   0.1598 |       108.1 |   0.04108 |   37.164
    0.163 |       111.5 |   0.04062 |    36.83
   0.1662 |       109.5 |   0.04215 |   36.498
   0.1694 |       109.7 |   0.04292 |   36.166
   0.1728 |       109.6 |    0.0438 |   35.835
   0.1762 |       108.7 |   0.04506 |   35.505
   0.1797 |       107.1 |   0.04663 |   35.176
   0.1832 |       110.6 |   0.04602 |   34.849
   0.1868 |       107.9 |    0.0481 |   34.522
   0.1904 |       112.7 |   0.04694 |   34.197
    0.194 |       111.9 |   0.04816 |   33.873
   0.1977 |       109.0 |   0.05038 |    33.55
   0.2014 |       111.7 |   0.05012 |   33.228
   0.2052 |       110.3 |    0.0517 |   32.907
    0.209 |       113.5 |   0.05118 |   32.588
   0.2129 |       109.2 |   0.05418 |    32.27
   0.2169 |       113.7 |     0.053 |   31.954
   0.2208 |       115.8 |   0.05298 |   31.639
   0.2248 |       109.3 |   0.05713 |   31.325
   0.2289 |       114.3 |   0.05565 |   31.012
    0.233 |       112.5 |   0.05753 |   30.701
   0.2372 |       109.9 |   0.05999 |   30.391
   0.2415 |       110.4 |   0.06079 |   30.084
   0.2459 |       110.3 |   0.06192 |   29.777
   0.2503 |       109.5 |    0.0635 |   29.473
   0.2547 |       114.1 |   0.06206 |   29.171
   0.2592 |       111.8 |   0.06444 |    28.87
   0.2638 |       109.0 |   0.06725 |    28.57
   0.2684 |       112.5 |    0.0663 |   28.273
   0.2729 |       113.8 |   0.06666 |   27.977
   0.2776 |       112.7 |   0.06841 |   27.683
   0.2822 |       113.2 |   0.06928 |   27.391
   0.2869 |       116.7 |   0.06829 |     27.1
   0.2915 |       117.2 |   0.06912 |   26.811
   0.2962 |       116.3 |   0.07078 |   26.523
   0.3009 |       117.8 |   0.07095 |   26.236
   0.3056 |       120.4 |   0.07055 |   25.951
   0.3103 |       120.2 |   0.07175 |   25.667
   0.3151 |       119.7 |   0.07312 |   25.385
   0.3199 |       119.9 |   0.07411 |   25.104
   0.3247 |       120.2 |   0.07506 |   24.824
   0.3296 |       120.3 |   0.07612 |   24.545
   0.3346 |       120.6 |    0.0771 |   24.268
   0.3396 |       121.3 |   0.07781 |   23.992
   0.3445 |       121.9 |   0.07851 |   23.718
   0.3495 |       122.7 |   0.07919 |   23.445
   0.4354 |      129.66 |   0.09487 |   18.508
  0.43772 |      129.74 |   0.09532 |   18.403
  0.44003 |      129.85 |   0.09574 |   18.299
  0.44234 |      129.97 |   0.09615 |   18.196
   0.4447 |      130.11 |   0.09656 |   18.091
    0.454 |      130.78 |   0.09808 |    17.68
   0.4638 |      131.56 |    0.0996 |   17.253
  0.47365 |      132.46 |   0.10102 |   16.831
   0.4849 |      133.13 |    0.1029 |   16.357
   0.4968 |      133.81 |   0.10489 |   15.864
   0.5048 |       134.7 |   0.10588 |   15.538
   0.5127 |      135.49 |   0.10691 |   15.219
   0.5246 |       136.3 |   0.10874 |   14.744
